,News
432,"['russia', 'raisio', 's', 'food', 'division', 's', 'home', 'market', 'stretch', 'way', 'vladivostok']"
3071,"['operator', 'need', 'learn', 'use', 'device', 'multiple', 'level', 'application', 'including', 'voicedirected', 'operation']"
289,"['company', 'expects', 'net', 'sale', 'half', 'reach', 'previous', 'year', 's', 'level']"
2588,"['bridge', 'km', 'long', 'located', 'anasmotet', 'road', 'e', 'new', 'traffic', 'junction', 'marieholm', 'road', 'e']"
4121,"['nokia', 'capcom', 'announced', 'resident', 'evil', 'degeneration', 'released', 'ngage', 'later', 'year']"
4489,"['time', 'delighted', 'fact', 'able', 'accomplish', 'organization', 'team', 'member']"
535,"['launch', 'new', 'g', 'handset', 'nokia', 'aim', 'winner', 'china', 's', 'g', 'market', 'did', 'g', 'market']"
1479,"['chf', 'great', 'product']"
188,"['eps', 'continuing', 'operation', 'came', 'eur']"
3573,"['earnings', 'share', 'eps', 'quarter', 'amounted', 'loss', 'eur']"
2067,"['january', 'finnish', 'flag', 'carrier', 'finnair', 'oyj', 'hel', 'fias', 'said', 'today', 'sealed', 'nineyear', 'sale', 'leaseback', 'agreement', 'newest', 'airbus', 'aircraft', 'syndication', 'japanese', 'operating', 'lease', 'market']"
2304,"['company', 'expects', 'net', 'sale', 'significantly', 'increase']"
279,"['sale', 'clothing', 'developed', 'best']"
366,"['ruukki', 'signed', 'contract', 'norwegian', 'company', 'veidekke', 'entreprenor']"
4030,"['net', 'loss', 'period', 'euro', 'million']"
896,"['company', 'aim', 'maintain', 'trend', 'profitability', 'current', 'year']"
4582,"['operating', 'profit', 'month', 'period', 'decreased', 'eur', 'm', 'net', 'sale', 'increased', 'eur', 'm', 'compared']"
270,"['previously', 'company', 'estimated', 'operating', 'profit', 'reach', 'level']"
889,"['acquisition', 'kaupthing', 'sverige', 'bring', 'significant', 'positive', 'nonrecurring', 'addition', 'group', 's', 'performance']"
1503,"['beginning', 'subscription', 'period', 'share', 'subscription', 'price', 'b', 'option', 'right', 'eur', 'share']"
4557,"['announcement', 'come', 'week', 'key', 'licensing', 'agreement', 'expires', 'company', 'embroiled', 'disagreement', 'royalty', 'payment', 'texas', 'instrument', 'chip', 'use', 'qualcommpatented', 'technology']"
2757,"['swedish', 'engineering', 'consultant', 'firm', 'etteplan', 'establish', 'unit', 'town', 'borlænge', 'turn', 'month', 'marchapril']"
2277,"['finnish', 'dental', 'care', 'group', 'oral', 'hammaslaakarit', 'oyj', 'posted', 'total', 'net', 'profit', 'euro', 'mln', 'month', 'versus', 'net', 'loss', 'euro', 'period']"
4328,"['layoff', 'finland']"
1593,"['s', 'good', 'position', 'technical', 'building', 'service', 'market', 'ostrobothnia']"
3880,"['order', 'includes', 'ship', 'crane', 'delivered', 'container', 'feeder', 'built', 'wenchong', 'shipyard', 'china']"
111,"['net', 'sale', 'grew', 'period', 'xac', 'million', 'million', 'xac', 'million']"
3953,"['wood', 'lacquered', 'clock', 'come', 'stripy', 'handcrocheted', 'cover']"
367,"['sale', 'finland', 'rose', 'international', 'growth']"
4729,"['export', 'good', 'fell', 'import']"
4241,"['authorisation', 'force', 'end', 'annual', 'general', 'meeting', 'repeal', 'authorisation', 'acquire', 'share', 'given', 'general', 'meeting', 'held', 'april']"
220,"['quarter', 'net', 'sale', 'increased', 'yearonyear', 'eur', 'm', 'comparable', 'currency', 'rate', 'growth']"
1020,"['addus', 'service', 'include', 'personal', 'care', 'assistance', 'activity', 'daily', 'living', 'skilled', 'nursing', 'rehabilitative', 'therapy', 'adult', 'day', 'care']"
627,"['january', 'finnish', 'consultancy', 'trainer', 'house', 'oyj', 'hel', 'trhv', 'said', 'friday', 'resolved', 'issue', 'eurm', 'hybrid', 'bond', 'domestic', 'investor', 'bid', 'strengthen', 'capital', 'structure']"
1074,"['talvik', 'say', 'relocation', 'application', 'program', 'server', 'continue', 'hp', 'server', 'approved', 'hp', 'supplying', 'tailormade', 'solution', 'elisa']"
2222,"['earnings', 'comparative', 'period', 'included', 'capital', 'gain', 'eur', 'mn', 'sale', 'omx', 'share']"
3184,"['company', 'did', 'disclose', 'price', 'acquisition']"
2303,"['bristol', 'port', 'company', 'sealed', 'million', 'pound', 'contract', 'cooper', 'specialised', 'handling', 'supply', 'tonne', 'customised', 'reach', 'stacker', 'konecranes']"
790,"['objective', 'planned', 'measure', 'achieve', 'significant', 'saving', 'year']"
4594,"['operating', 'loss', 'totalled', 'eur', 'mn', 'profit', 'eur', 'mn']"
461,"['term', 'offtake', 'agreement', 'talvivaara', 'cameco', 'provide', 'upfront', 'investment', 'maximum', 'million', 'cover', 'construction', 'cost', 'uranium', 'extraction', 'circuit']"
4267,"['new', 'apartment', 'block', 'going', 'close', 'city', 'center', 'explained', 'chairman', 'board', 'yit', 'ehitus', 'priit', 'sauk']"
2031,"['operating', 'income', 'eur', 'mn', 'including', 'eur', 'mn', 'restructuring', 'expense']"
