,Class,News
0,1,according gran company plans production russia company growing
1,1,technopolis plans develop stages area square meters order host companies working computer technologies telecommunications statement said
2,0,international electronic industry company elcoteq laid tens employees tallinn facility contrary earlier layoffs company contracted ranks office workers daily postimees reported
3,2,new production plant company increase capacity meet expected increase demand improve use raw materials increase production profitability
4,2,according company s updated strategy years basware targets longterm net sales growth range operating profit margin net sales
5,2,financing aspocomp s growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit boards pcbs
6,2,quarter componenta s net sales doubled eurm eurm period year earlier moved zero pretax profit pretax loss eurm
7,2,quarter net sales increased eur mn operating profit eur mn
8,2,operating profit rose eur mn eur mn corresponding period representing net sales
9,2,operating profit totalled eur mn eur mn representing net sales
10,2,teliasonera tlsn said offer line strategy increase ownership core business holdings strengthen eesti telekom s offering customers
11,2,stora enso norske skog mreal upmkymmene credit suisse boston cfsb raised fair value shares largest nordic forestry groups
12,2,purchase agreement tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus dollars month
13,2,finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn
14,2,clothing retail chain seppælæ s sales increased eur mn operating profit rose eur mn eur mn
15,2,consolidated net sales increased reach eur m operating profit amounted eur m compared loss eur m prior year period
16,2,foundries division reports sales increased eur mn eur mn corresponding period sales machine shop division increased eur mn eur mn corresponding period
17,2,helsinki afx shares closed higher led nokia announced plans team sanyo manufacture g handsets nokian tyres fourthquarter earnings report beat analysts expectations dealers said
18,2,incap contract manufacturing services pvt subsidiary incap corporation finland plans double revenues
19,2,board directors propose dividend eur share eur share paid
20,2,lifetree founded revenues risen average margins late s
21,2,filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today
22,2,megafon s subscriber base increased million users december market share number customers amounted late late according teliasonera estimates
23,2,net income life insurance doubled eur mn eur mn net income nonlife insurance rose eur mn eur mn corresponding period
24,2,net sales increased eur m eur m pretax profit rose eur m eur usd
25,2,net sales surged eur m teleste said eur m sales came acquisitions
26,2,nordea group s operating profit increased percent yearonyear billion euros total revenue percent billion euros
27,2,operating profit ninemonth period increased eur m net sales increased eur m compared corresponding period
28,2,operating profit ninemonth period increased eur m net sales increased eur m compared corresponding period
29,2,operating profit threemonth period increased eur m revenue increased eur m compared corresponding period
