Class,News,News
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","According to Gran, the company does not intend to move all production in Russia, although this is where the company is developing."
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Technopolis plans to develop in stages of an area of ​​at least 100,000 square meters in order to accommodate companies working in computer technologies and telecommunications, according to the press release."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","The International Elcoteq Electronics Society has dismissed dozens of employees in its Tallinn facilities; Unlike previous layoffs, the company has contracted the ranks of its office employees, the PROPERTY DAYRY reported."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"With the new production factory, the company would increase its ability to meet the expected increase in demand and improve the use of raw materials and therefore increase the profitability of production."
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","According to the company's updated strategy for the years 2009-2012, Basware targets net growth in long-term sales of 20% to 40% with a margin of operating profit from 10% to 20% of net sales."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"The financing of the growth of Aspoomp Aspoomp is aggressively pursuing its growth strategy by focusing more and more on PCBs of HDI printed circuits, more demanding HDI HDI."
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For the last quarter of 2010, the net componenta sales doubled at 131 million euros, compared to 76 million euros for the same period a year earlier, while it was a profit before a loss tax loss Before tax of 7 million euros."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","In the third quarter of 2010, net sales increased by 5.2% to 205.5 minutes and an operating profit from 34.9% to 23.5 minutes."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"The operating profit increased to 13.1 min from EUR 8.7 mins during the corresponding period in 2007, which represents 7.7% of net sales."
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Operating profit totaled 21.1 mins, compared to 18.6 mins in 2007, which represents 9.7% of net sales."
